o_provincia	o_localidad	o_calle	o_numero	o_CP	n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP	n_resolucion	n_motivo	n_entre Calle 1	n_entre Calle 2	 CV_ZonaPeligrosa
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MITRE BARTOLOME	745	1036	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL MITRE	745	1036	CO	SM	MAIPU	ESMERALDA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PAZ GENERAL AVDA.	13	1429	CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		AVENIDA PAZ GENERAL	13	1429	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ALEM LEANDRO N. AVDA.	530	1001	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	530	1001	CO	SM	GENERAL JUAN LAVALLE	TUCUMAN	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SALTA	935	1074	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SALTA	935	1074	CO	SM	ESTADOS UNIDOS	CARLOS CALVO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VALDENEGRO	4315	1430	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	E VALDENEGRO	4315	1430	CO	SM	RUIZ HUIDOBRO	CIRILO CORREA	N
BUENOS AIRES	SAN FERNANDO	FRENCH	64	1646	BUENOS AIRES	SAN FERNANDO	SAN FERNANDO		FRENCH	64	1646	CO	SM	GONZALEZ	LAS HERAS	N
BUENOS AIRES	LA LUCILA	DIAZ VELEZ	1051	1636	BUENOS AIRES	VICENTE LOPEZ	LA LUCILA		M DIAZ VELEZ	1051	1636	CO	SM	HERNAN WINEBERG	SALTA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BRASIL	3237	1260	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	BRASIL	3237	1260	CO	SM	24 DE NOVIEMBRE	PRESBITERO DOCTOR MARIANO SANCHEZ DE LORIA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ARAOZ	655	1414	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	ARAOZ	655	1414	CO	SM	FRANCISCO DE AGUIRRE	MARTIN IGNACIO DE LOYOLA	N
BUENOS AIRES	EL PALOMAR	FLUGUERTO	1336	1684	BUENOS AIRES	MORON	EL PALOMAR		FLUGUERTO	1336	1684	NE	AI			
BUENOS AIRES	MORON	CASULLO	363	1708	BUENOS AIRES	MORON	MORON		DR J M CASULLO	363	1708	CO	SM	NUESTRA SEÑORA DEL BUEN VIAJE	GENERAL BARTOLOME MITRE	N
BUENOS AIRES	ADOLFO GONZALES CHAVES	CASILLA CORREO	121	7513	BUENOS AIRES		ADOLFO GONZALES CHAVES		CASILLA CORREO	121	7513	NE	CI			
